RequestID;SubmitTime;Duration;DataProcessed;Submitter;Status;SessionID;DataProcessedGB
55663355;7/21/21, 11:23:31 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55663149;7/21/21, 11:23:30 PM;0 sec;26.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.026
55662987;7/21/21, 11:23:29 PM;0 sec;19.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.019
55662821;7/21/21, 11:23:28 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55662623;7/21/21, 11:23:26 PM;1 sec;33.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.033
55662350;7/21/21, 11:23:25 PM;1 sec;23.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.023
55662142;7/21/21, 11:23:25 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55661949;7/21/21, 11:23:21 PM;3 sec;22.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.022
55661670;7/21/21, 11:23:20 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55660245;7/21/21, 11:23:19 PM;1 sec;23.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.023
55659695;7/21/21, 11:23:18 PM;1 sec;29.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.029
55658711;7/21/21, 11:23:16 PM;1 sec;40.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.04
55658390;7/21/21, 11:23:15 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55658211;7/21/21, 11:23:11 PM;3 sec;41.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.041
55657887;7/21/21, 11:23:09 PM;2 sec;21.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.021
55657669;7/21/21, 11:23:07 PM;1 sec;12.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.012
55657085;7/21/21, 11:23:03 PM;3 sec;67.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.067
55656849;7/21/21, 11:23:02 PM;1 sec;15.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.015
55656554;7/21/21, 11:23:00 PM;1 sec;85.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.085
55655934;7/21/21, 11:22:59 PM;0 sec;32.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.032
55655706;7/21/21, 11:22:57 PM;1 sec;68.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.068
55655350;7/21/21, 11:22:56 PM;1 sec;55.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.055
55654899;7/21/21, 11:22:54 PM;1 sec;40.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.04
55653733;7/21/21, 11:22:52 PM;2 sec;111.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.111
55651411;7/21/21, 11:22:50 PM;2 sec;83.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.083
55649027;7/21/21, 11:22:48 PM;1 sec;16.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.016
55646127;7/21/21, 11:22:43 PM;5 sec;90.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.09
55645759;7/21/21, 11:22:40 PM;1 sec;37.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.037
55645436;7/21/21, 11:22:39 PM;1 sec;28.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.028
55642777;7/21/21, 11:22:36 PM;2 sec;16.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.016
55642442;7/21/21, 11:22:35 PM;1 sec;55.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.055
55639955;7/21/21, 11:22:30 PM;4 sec;107.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.107
55639657;7/21/21, 11:22:29 PM;0 sec;35.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.035
55637073;7/21/21, 11:22:20 PM;8 sec;200.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.2
55634588;7/21/21, 11:22:18 PM;1 sec;15.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.015
55633613;7/21/21, 11:22:18 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55633406;7/21/21, 11:22:16 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55632975;7/21/21, 11:22:14 PM;1 sec;40.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.04
55632479;7/21/21, 11:22:13 PM;1 sec;18.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.018
55632082;7/21/21, 11:22:11 PM;1 sec;155.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.155
55631711;7/21/21, 11:22:08 PM;2 sec;41.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.041
55631240;7/21/21, 11:22:06 PM;1 sec;20.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.02
55631053;7/21/21, 11:22:04 PM;2 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55630568;7/21/21, 11:22:03 PM;0 sec;15.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.015
55630342;7/21/21, 11:22:02 PM;1 sec;20.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.02
55630183;7/21/21, 11:22:00 PM;1 sec;31.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.031
55629992;7/21/21, 11:21:59 PM;1 sec;16.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.016
