timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626512447419,28919,warmup 1,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,2352,0,1,1,null,28717,0,1667
1626512476338,11216,warmup 2,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,14191,0,1,1,null,10999,0,0
1626512487554,4275,warmup 3,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,15534,0,1,1,null,4274,0,0
1626512491829,5566,warmup 4,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,21132,0,1,1,null,5565,0,0
1626512497395,1974,warmup 5,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,11514,0,1,1,null,1973,0,0
1626512499369,13344,warmup 6,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,4423,0,1,1,null,13166,0,0
1626512512714,2042,warmup 7,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,13999,0,1,1,null,2041,0,0
1626512514755,1697,warmup 8,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,14342,0,1,1,null,1696,0,0
1626512516452,1159,warmup 9,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,2227,0,1,1,null,1158,0,0
1626512517611,1139,warmup 10,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,356,0,1,1,null,1138,0,0
1626512518751,2138,warmup 11,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,2059,0,1,1,null,2137,0,0
1626512520889,1941,warmup 12,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,27624,0,1,1,null,1940,0,0
1626512522830,1862,warmup 13,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,12817,0,1,1,null,1861,0,0
1626512524691,1009,warmup 14,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,1342,0,1,1,null,1009,0,0
1626512525701,1072,warmup 15,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,1095,0,1,1,null,1072,0,0
1626512526774,2444,warmup 16,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,11826,0,1,1,null,2443,0,0
