timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626635053320,2485,warmup 1,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2352,0,1,1,null,2485,0,940
1626635055805,1594,warmup 2,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,14191,0,1,1,null,1590,0,0
1626635057399,974,warmup 3,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,15537,0,1,1,null,973,0,0
1626635058373,2241,warmup 4,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,21132,0,1,1,null,2238,0,0
1626635060614,1525,warmup 5,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,11514,0,1,1,null,1521,0,0
1626635062139,2375,warmup 6,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4423,0,1,1,null,2375,0,0
1626635064515,2005,warmup 7,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,13999,0,1,1,null,2001,0,0
1626635066520,1035,warmup 8,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,14342,0,1,1,null,1003,0,0
1626635067555,3654,warmup 9,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2227,0,1,1,null,3654,0,0
1626635071208,674,warmup 10,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,356,0,1,1,null,674,0,0
1626635071883,1778,warmup 11,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2063,0,1,1,null,1777,0,0
1626635073661,1397,warmup 12,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,27624,0,1,1,null,1391,0,0
1626635075058,857,warmup 13,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,12817,0,1,1,null,843,0,0
1626635075915,527,warmup 14,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,1342,0,1,1,null,527,0,0
1626635076442,578,warmup 15,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,1095,0,1,1,null,578,0,0
1626635077020,1156,warmup 16,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,11829,0,1,1,null,1147,0,0
1626635078176,1954,warmup 17,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,13981,0,1,1,null,1948,0,0
1626635080132,778,warmup 18,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3611,0,1,1,null,777,0,0
1626635080910,688,warmup 19,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,6163,0,1,1,null,687,0,0
1626635081598,553,warmup 20,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,789,0,1,1,null,553,0,0
1626635082151,1336,warmup 21,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,6239,0,1,1,null,1336,0,0
1626635083487,1404,warmup 22,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,14464,0,1,1,null,1397,0,0
1626635084890,1396,warmup 23,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,20964,0,1,1,null,1395,0,0
1626635086286,684,warmup 24,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,9401,0,1,1,null,683,0,0
1626635086970,7705,SQL QUERY 1 ,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,1714,0,1,1,null,7705,0,0
1626635094676,4691,SQL QUERY 2 ,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,170623,0,1,1,null,4658,0,0
1626635099367,4251,SQL QUERY 3 ,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,637,0,1,1,null,4251,0,0
1626635103617,9007,SQL QUERY 4 ,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,125,0,1,1,null,9007,0,0
1626635112624,7069,SQL QUERY 5,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,6853,0,1,1,null,7068,0,0
1626635119693,10664,SQL QUERY 7,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4990,0,1,1,null,10663,0,0
1626635130357,459,SQL QUERY 8,S0001 102,com.microsoft.sqlserver.jdbc.SQLServerException: Incorrect syntax near ')'.,Synapse Thread Group 1 GB Delta 1-1,text,false,,26,0,1,1,null,0,0,0
1626635130816,6516,SQL QUERY 10,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,457,0,1,1,null,6516,0,0
1626635137332,8338,SQL QUERY 11,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3906,0,1,1,null,8338,0,0
1626635145670,2003,SQL QUERY 12,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,14579,0,1,1,null,1960,0,0
1626635147673,7021,SQL QUERY 13,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,40,0,1,1,null,7021,0,1
1626635154694,8532,SQL QUERY 14,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3255,0,1,1,null,8531,0,0
1626635163226,2465,SQL QUERY 15,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,1341,0,1,1,null,2464,0,0
1626635165691,6036,SQL QUERY 16,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,73,0,1,1,null,6036,0,0
1626635171727,6779,SQL QUERY 17,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,346,0,1,1,null,6779,0,0
1626635178506,5215,SQL QUERY 18,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,9784,0,1,1,null,5215,0,0
1626635183721,3622,SQL QUERY 19,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4231,0,1,1,null,3622,0,0
1626635187343,1716,SQL QUERY 20,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,14601,0,1,1,null,1714,0,0
1626635189059,6197,SQL QUERY 21,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4247,0,1,1,null,6197,0,0
1626635195257,5167,SQL QUERY 22,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,5675,0,1,1,null,5167,0,0
1626635200425,5299,SQL QUERY 23,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,6,0,1,1,null,5299,0,0
1626635205724,6763,SQL QUERY 24,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,43,0,1,1,null,6763,0,0
1626635212489,4003,SQL QUERY 25,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,105,0,1,1,null,4003,0,0
1626635216492,8404,SQL QUERY 26,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4998,0,1,1,null,8404,0,0
1626635224895,4406,SQL QUERY 27,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,5298,0,1,1,null,4405,0,0
1626635229301,3400,SQL QUERY 28,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,253,0,1,1,null,3400,0,0
1626635232701,4312,SQL QUERY 29,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,113,0,1,1,null,4312,0,0
1626635237014,4074,SQL QUERY 30,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,10635,0,1,1,null,4063,0,0
1626635241087,3381,SQL QUERY 31,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2104,0,1,1,null,3381,0,0
1626635244468,5744,SQL QUERY 33,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,1249,0,1,1,null,5743,0,0
1626635250212,3215,SQL QUERY 34,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,10461,0,1,1,null,3213,0,0
1626635253427,4945,SQL QUERY 35,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4911,0,1,1,null,4944,0,0
1626635258372,2916,SQL QUERY 36,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2823,0,1,1,null,2916,0,0
1626635261289,3171,SQL QUERY 37,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,255,0,1,1,null,3171,0,0
1626635264460,5169,SQL QUERY 38,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3,0,1,1,null,5168,0,0
1626635269629,3335,SQL QUERY 39,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,9120,0,1,1,null,3324,0,0
1626635272964,3304,SQL QUERY 40,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3288,0,1,1,null,3304,0,0
1626635276269,1708,SQL QUERY 42,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,297,0,1,1,null,1708,0,0
1626635277977,2113,SQL QUERY 43,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,646,0,1,1,null,2113,0,0
1626635280090,1923,SQL QUERY 44,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,433,0,1,1,null,1923,0,0
1626635282013,2893,SQL QUERY 45,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,299,0,1,1,null,2893,0,0
1626635284907,4497,SQL QUERY 46,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,5385,0,1,1,null,4497,0,0
1626635289404,5516,SQL QUERY 47,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4947,0,1,1,null,5515,0,0
1626635294919,3549,SQL QUERY 48,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,7,0,1,1,null,3549,0,0
1626635298469,6278,SQL QUERY 49,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,1058,0,1,1,null,6278,0,0
1626635304747,3176,SQL QUERY 50,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,669,0,1,1,null,3176,0,0
1626635307923,2806,SQL QUERY 51,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3986,0,1,1,null,2806,0,0
1626635310730,2436,SQL QUERY 52,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3991,0,1,1,null,2436,0,0
1626635313166,2634,SQL QUERY 53,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2168,0,1,1,null,2634,0,0
1626635315800,5473,SQL QUERY 54,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,35,0,1,1,null,5473,0,0
1626635321274,2216,SQL QUERY 55,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3427,0,1,1,null,2215,0,0
1626635323490,5523,SQL QUERY 56,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2399,0,1,1,null,5523,0,0
1626635329013,3419,SQL QUERY 57,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,5929,0,1,1,null,3419,0,0
1626635332432,3205,SQL QUERY 59,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,9045,0,1,1,null,3196,0,0
1626635335637,3937,SQL QUERY 60,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2567,0,1,1,null,3937,0,0
1626635339574,3791,SQL QUERY 61,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,33,0,1,1,null,3791,0,0
1626635343366,5029,SQL QUERY 62,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4789,0,1,1,null,5029,0,0
1626635348395,3147,SQL QUERY 63,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2166,0,1,1,null,3146,0,0
1626635351542,15965,SQL QUERY 64,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,2509,0,1,1,null,15965,0,0
1626635367507,2758,SQL QUERY 65,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,13219,0,1,1,null,2752,0,0
1626635370265,8285,SQL QUERY 67,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,6039,0,1,1,null,8285,0,0
1626635378551,3720,SQL QUERY 68,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,6434,0,1,1,null,3720,0,0
1626635382270,5340,SQL QUERY 69,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,101,0,1,1,null,5340,0,0
1626635387610,2548,SQL QUERY 70,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,83,0,1,1,null,2548,0,0
1626635390159,5652,SQL QUERY 71,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,44207,0,1,1,null,5647,0,0
1626635395811,9808,SQL QUERY 72,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,7102,0,1,1,null,9807,0,0
1626635405620,2928,SQL QUERY 73,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,313,0,1,1,null,2928,0,0
1626635408548,4587,SQL QUERY 74,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3161,0,1,1,null,4586,0,0
1626635413134,5465,SQL QUERY 75,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,5313,0,1,1,null,5465,0,0
1626635418600,3644,SQL QUERY 76,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4988,0,1,1,null,3644,0,0
1626635422245,5198,SQL QUERY 77,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,1923,0,1,1,null,5198,0,0
1626635427443,4197,SQL QUERY 78,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,3968,0,1,1,null,4197,0,0
1626635431640,3375,SQL QUERY 79,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,4241,0,1,1,null,3374,0,0
1626635435015,7138,SQL QUERY 80,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,6859,0,1,1,null,7138,0,0
1626635442154,3339,SQL QUERY 81,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,13674,0,1,1,null,3336,0,0
1626635445493,5869,SQL QUERY 82,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,239,0,1,1,null,5869,0,0
1626635451362,4520,SQL QUERY 83,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,1609,0,1,1,null,4520,0,0
1626635455882,3141,SQL QUERY 84,200,OK,Synapse Thread Group 1 GB Delta 1-1,text,true,,933,0,1,1,null,3141,0,0
