timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626630374685,11433,warmup 1,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,2352,0,1,1,null,11416,0,1647
1626630386118,712,warmup 2,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,14191,0,1,1,null,677,0,0
1626630386830,625,warmup 3,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,15537,0,1,1,null,619,0,0
1626630387455,7100,warmup 4,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,21132,0,1,1,null,7097,0,0
1626630394555,595,warmup 5,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,11514,0,1,1,null,589,0,0
1626630395150,781,warmup 6,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,4423,0,1,1,null,778,0,0
1626630395931,995,warmup 7,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,13706,0,1,1,null,992,0,0
1626630396927,431,warmup 8,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,14342,0,1,1,null,424,0,0
1626630397358,543,warmup 9,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,2227,0,1,1,null,541,0,0
1626630397901,388,warmup 10,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,356,0,1,1,null,388,0,0
1626630398289,1502,warmup 11,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,2063,0,1,1,null,1501,0,0
1626630399791,710,warmup 12,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,27624,0,1,1,null,624,0,0
1626630400501,270,warmup 13,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,12817,0,1,1,null,266,0,0
1626630400772,224,warmup 14,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,1342,0,1,1,null,224,0,0
1626630400996,202,warmup 15,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,1095,0,1,1,null,201,0,0
1626630401199,901,warmup 16,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,11829,0,1,1,null,897,0,0
1626630402101,4972,warmup 17,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,13981,0,1,1,null,4970,0,0
1626630407072,234,warmup 18,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,3611,0,1,1,null,234,0,0
1626630407306,356,warmup 19,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,6163,0,1,1,null,354,0,0
1626630407662,219,warmup 20,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,789,0,1,1,null,219,0,0
1626630407882,214,warmup 21,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,6239,0,1,1,null,213,0,0
1626630408096,654,warmup 22,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,14464,0,1,1,null,649,0,0
1626630408750,1062,warmup 23,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,20964,0,1,1,null,1052,0,0
1626630409812,253,warmup 24,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,9401,0,1,1,null,249,0,0
1626630410065,4156,SQL QUERY 1 ,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,1714,0,1,1,null,4156,0,0
1626630414221,5686,SQL QUERY 2 ,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,170623,0,1,1,null,5625,0,0
1626630419907,4193,SQL QUERY 3 ,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,637,0,1,1,null,4193,0,0
1626630424100,9555,SQL QUERY 4 ,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,125,0,1,1,null,9555,0,0
1626630433655,3189,SQL QUERY 5,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,6853,0,1,1,null,3186,0,1
1626630436844,7701,SQL QUERY 7,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,4990,0,1,1,null,7699,0,0
1626630444545,55,SQL QUERY 8,S0001 102,com.microsoft.sqlserver.jdbc.SQLServerException: Incorrect syntax near ')'.,Synapse Thread Group 1 GB Parquet External table 1-1,text,false,,26,0,1,1,null,0,0,0
1626630444600,6170,SQL QUERY 10,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,457,0,1,1,null,6169,0,0
1626630450770,5362,SQL QUERY 11,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,3900,0,1,1,null,5360,0,0
1626630456132,1872,SQL QUERY 12,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,14579,0,1,1,null,1867,0,0
1626630458004,4579,SQL QUERY 13,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,40,0,1,1,null,4579,0,0
1626630462584,3222,SQL QUERY 14,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,3255,0,1,1,null,3221,0,0
1626630465806,2131,SQL QUERY 15,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,1341,0,1,1,null,2131,0,0
1626630467937,4860,SQL QUERY 16,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,73,0,1,1,null,4860,0,0
1626630472797,3759,SQL QUERY 17,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,346,0,1,1,null,3759,0,0
1626630476556,3716,SQL QUERY 18,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,9784,0,1,1,null,3703,0,0
1626630480272,1855,SQL QUERY 19,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,4231,0,1,1,null,1855,0,1
1626630482127,652,SQL QUERY 20,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,14601,0,1,1,null,646,0,0
1626630482779,6908,SQL QUERY 21,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,4247,0,1,1,null,6904,0,0
1626630489687,2574,SQL QUERY 22,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,5675,0,1,1,null,2573,0,0
1626630492262,7494,SQL QUERY 23,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,6,0,1,1,null,7494,0,0
1626630499756,2722,SQL QUERY 24,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,43,0,1,1,null,2722,0,0
1626630502478,2570,SQL QUERY 25,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,105,0,1,1,null,2570,0,0
1626630505049,2627,SQL QUERY 26,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,4998,0,1,1,null,2626,0,0
1626630507676,2371,SQL QUERY 27,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,5298,0,1,1,null,2369,0,0
1626630510047,2383,SQL QUERY 28,200,OK,Synapse Thread Group 1 GB Parquet External table 1-1,text,true,,253,0,1,1,null,2382,0,0
