timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626608820690,41442,warmup 1,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,14254,0,1,1,null,41189,0,1970
1626608862132,22616,warmup 2,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,14069,0,1,1,null,22405,0,0
1626608884748,94485,warmup 3,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,16947,0,1,1,null,94265,0,0
1626608979233,68076,warmup 4,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,22642,0,1,1,null,67850,0,0
1626609047311,10048,warmup 5,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,11732,0,1,1,null,9834,0,0
1626609057359,3277,warmup 6,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,4423,0,1,1,null,3275,0,0
1626609060637,7074,warmup 7,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,14369,0,1,1,null,6843,0,0
1626609067711,2666,warmup 8,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,14342,0,1,1,null,2662,0,0
1626609070377,1580,warmup 9,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,2227,0,1,1,null,1578,0,0
1626609071957,1704,warmup 10,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,356,0,1,1,null,1702,0,0
1626609073662,6155,warmup 11,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,2219,0,1,1,null,5975,0,0
1626609079818,3624,warmup 12,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,28913,0,1,1,null,3617,0,0
1626609083442,3020,warmup 13,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,12887,0,1,1,null,3016,0,0
1626609086463,1787,warmup 14,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,2242,0,1,1,null,1785,0,0
1626609088250,1603,warmup 15,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,1095,0,1,1,null,1602,0,0
1626609089854,30732,warmup 16,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,12879,0,1,1,null,30531,0,0
1626609120585,81598,warmup 17,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,15177,0,1,1,null,81400,0,0
1626609202183,2638,warmup 18,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,27671,0,1,1,null,2636,0,0
1626609204821,1812,warmup 19,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,6163,0,1,1,null,1809,0,0
1626609206633,2421,warmup 20,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,2672,0,1,1,null,2419,0,0
1626609209055,1724,warmup 21,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,10340,0,1,1,null,1719,0,0
1626609210779,24255,warmup 22,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,15861,0,1,1,null,24039,0,0
1626609235034,50118,warmup 23,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,22418,0,1,1,null,49917,0,0
1626609285152,2414,warmup 24,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,16388,0,1,1,null,2412,0,0
1626609287567,7953,SQL QUERY 1 ,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,1714,0,1,1,null,7777,0,0
1626609295521,9007,SQL QUERY 2 ,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,100784,0,1,1,null,8683,0,0
1626609304528,12851,SQL QUERY 3 ,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,4021,0,1,1,null,12682,0,0
1626609317380,21712,SQL QUERY 4 ,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,3353,0,1,1,null,21414,0,0
1626609339092,11925,SQL QUERY 5,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,7204,0,1,1,null,11749,0,0
1626609351018,12833,SQL QUERY 7,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,6444,0,1,1,null,12666,0,0
1626609363851,5590,SQL QUERY 8,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,252,0,1,1,null,5421,0,0
1626609369441,12348,SQL QUERY 10,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,4859,0,1,1,null,12183,0,0
1626609381790,16970,SQL QUERY 11,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,4192,0,1,1,null,16772,0,0
1626609398761,2759,SQL QUERY 12,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,14998,0,1,1,null,2756,0,0
1626609401520,15414,SQL QUERY 13,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,150,0,1,1,null,15235,0,0
1626609416936,18424,SQL QUERY 14,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,3745,0,1,1,null,18242,0,0
1626609435361,5839,SQL QUERY 15,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,1457,0,1,1,null,5838,0,0
1626609441199,23339,SQL QUERY 16,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,78,0,1,1,null,23114,0,0
1626609464539,10766,SQL QUERY 17,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,18278,0,1,1,null,10545,0,0
1626609475305,12761,SQL QUERY 18,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,8866,0,1,1,null,12558,0,0
1626609488067,7508,SQL QUERY 19,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,5353,0,1,1,null,7508,0,0
1626609495576,2828,SQL QUERY 20,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,15100,0,1,1,null,2826,0,0
1626609498404,3693,SQL QUERY 21,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,4447,0,1,1,null,3692,0,0
1626609502097,8902,SQL QUERY 22,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,7489,0,1,1,null,8724,0,0
1626609510999,27374,SQL QUERY 23,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,22,0,1,1,null,27175,0,0
1626609538373,90940,SQL QUERY 24,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,19077,0,1,1,null,90473,0,0
1626609629313,48967,SQL QUERY 25,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,16518,0,1,1,null,48766,0,0
1626609678280,8889,SQL QUERY 26,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,6368,0,1,1,null,8719,0,0
1626609687169,8871,SQL QUERY 27,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,5691,0,1,1,null,8690,0,0
1626609696041,19903,SQL QUERY 28,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,273,0,1,1,null,19717,0,0
1626609715944,33592,SQL QUERY 29,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,14757,0,1,1,null,33386,0,0
1626609749537,8472,SQL QUERY 30,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,10706,0,1,1,null,8249,0,0
1626609758010,6149,SQL QUERY 31,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,29942,0,1,1,null,5913,0,0
1626609764159,11743,SQL QUERY 33,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,1535,0,1,1,null,11583,0,0
1626609775902,7393,SQL QUERY 34,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,278119,0,1,1,null,7382,0,0
1626609783295,10703,SQL QUERY 35,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,5793,0,1,1,null,10485,0,0
1626609793999,9778,SQL QUERY 36,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,4055,0,1,1,null,9609,0,0
1626609803777,5794,SQL QUERY 37,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,320,0,1,1,null,5793,0,0
1626609809572,7758,SQL QUERY 38,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,17,0,1,1,null,7589,0,0
1626609817330,4738,SQL QUERY 39,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,752051,0,1,1,null,4544,0,0
1626609822068,17151,SQL QUERY 40,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,3494,0,1,1,null,16976,0,1
1626609839219,3970,SQL QUERY 42,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,388,0,1,1,null,3969,0,0
1626609843189,4311,SQL QUERY 43,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,9987,0,1,1,null,4310,0,0
1626609847500,5575,SQL QUERY 44,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,528,0,1,1,null,5399,0,0
1626609853076,5447,SQL QUERY 45,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,1525,0,1,1,null,5445,0,0
1626609858523,12410,SQL QUERY 46,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,5510,0,1,1,null,12251,0,0
1626609870934,9093,SQL QUERY 47,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,6198,0,1,1,null,8936,0,0
1626609880027,10466,SQL QUERY 48,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_large 1-1,text,true,,26,0,1,1,null,10292,0,0
