timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626617182360,37308,warmup 1,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,14254,0,1,1,null,37054,0,1898
1626617219668,12963,warmup 2,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,14069,0,1,1,null,12581,0,0
1626617232631,52094,warmup 3,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,16925,0,1,1,null,51888,0,0
1626617284726,194279,warmup 4,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,22642,0,1,1,null,193861,0,0
1626617479004,10713,warmup 5,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,11732,0,1,1,null,10507,0,0
1626617489717,3628,warmup 6,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,4423,0,1,1,null,3627,0,0
1626617493345,7559,warmup 7,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,14369,0,1,1,null,7244,0,0
1626617500904,2262,warmup 8,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,14342,0,1,1,null,2260,0,0
1626617503166,1436,warmup 9,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,2227,0,1,1,null,1435,0,0
1626617504602,1592,warmup 10,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,356,0,1,1,null,1591,0,0
1626617506194,14115,warmup 11,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,2211,0,1,1,null,13941,0,0
1626617520309,3731,warmup 12,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,28913,0,1,1,null,3730,0,0
1626617524040,2271,warmup 13,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,12887,0,1,1,null,2270,0,0
1626617526311,1460,warmup 14,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,2242,0,1,1,null,1459,0,0
1626617527771,1342,warmup 15,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,1095,0,1,1,null,1342,0,0
1626617529113,45684,warmup 16,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,12879,0,1,1,null,45421,0,0
1626617574797,255067,warmup 17,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,15177,0,1,1,null,254787,0,0
1626617829864,4060,warmup 18,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,27671,0,1,1,null,4059,0,0
1626617833924,1672,warmup 19,200,OK,Spark Thread Group 1 TB Delta SQL_Analytics_small 1-1,text,true,,6163,0,1,1,null,1672,0,0
